,Date,GS,^GSPC,moving_avg_20,moving_avg_50
165,2021-05-25,364.510009765625,4188.1298828125,360.28100128173827,344.7994006347656
166,2021-05-26,367.3999938964844,4195.990234375,361.24550170898436,345.3132006835938
167,2021-05-27,371.3699951171875,4200.8798828125,362.1655014038086,345.8416003417969
168,2021-05-28,372.0199890136719,4204.10986328125,363.3440002441406,346.32200012207034
169,2021-06-01,382.4400024414063,4202.0400390625,364.95800018310547,347.0867999267578
170,2021-06-02,383.4400024414063,4208.1201171875,366.63800048828125,347.9690002441406
171,2021-06-03,388.7200012207031,4192.85009765625,368.19300079345703,349.1080004882813
172,2021-06-04,391.45001220703125,4229.89013671875,369.4670013427734,350.3640008544922
173,2021-06-07,388.1600036621094,4226.52001953125,370.330500793457,351.516201171875
174,2021-06-08,384.70001220703125,4227.259765625,371.13150177001955,352.6624011230469
175,2021-06-09,382.7799987792969,4219.5498046875,372.27450103759764,353.80340087890625
176,2021-06-10,373.9400024414063,4239.18017578125,373.2515014648437,354.6420007324219
177,2021-06-11,378.0499877929688,4247.43994140625,374.2135009765625,355.6630004882812
178,2021-06-14,372.9200134277344,4255.14990234375,374.42100219726564,356.5686004638672
179,2021-06-15,371.2999877929688,4246.58984375,374.52350158691405,357.52380004882815
180,2021-06-16,371.0,4223.7001953125,374.8455017089844,358.40260009765626
181,2021-06-17,361.5,4221.85986328125,375.0015014648437,359.1016003417969
182,2021-06-18,348.8299865722656,4166.4501953125,374.45400085449216,359.4553997802734
183,2021-06-21,357.5400085449219,4224.7900390625,374.018000793457,359.99
184,2021-06-22,357.5299987792969,4246.43994140625,373.4800003051758,360.5038000488281
185,2021-06-23,361.0499877929688,4241.83984375,373.30699920654297,361.1711999511719
186,2021-06-24,368.75,4266.490234375,373.37449951171874,361.8391998291016
187,2021-06-25,368.7699890136719,4280.7001953125,373.24449920654297,362.44359985351565
188,2021-06-28,368.7099914550781,4290.60986328125,373.0789993286133,362.97159973144534
189,2021-06-29,372.6199951171875,4291.7998046875,372.58799896240237,363.56219970703125
190,2021-06-30,379.5299987792969,4297.5,372.3924987792969,364.51519958496095
191,2021-07-01,374.989990234375,4319.93994140625,371.7059982299805,365.309599609375
192,2021-07-02,374.1600036621094,4352.33984375,370.84149780273435,366.17579956054686
193,2021-07-06,369.8599853515625,4343.5400390625,369.926496887207,366.7859991455078
194,2021-07-07,367.6700134277344,4358.1298828125,369.0749969482422,367.26899963378906
195,2021-07-08,358.94000244140625,4320.81982421875,367.8829971313477,367.51519958496095
196,2021-07-09,371.760009765625,4369.5498046875,367.7739974975586,367.9882000732422
197,2021-07-12,380.5,4384.6298828125,367.89649810791013,368.53880004882814
198,2021-07-13,375.9800109863281,4369.2099609375,368.0494979858398,369.0894000244141
199,2021-07-14,374.3999938964844,4374.2998046875,368.2044982910156,369.5741998291016
200,2021-07-15,373.3500061035156,4360.02978515625,368.3219985961914,370.0444000244141
201,2021-07-16,364.7999877929688,4327.16015625,368.4869979858398,370.1879998779297
202,2021-07-19,354.7200012207031,4258.490234375,368.78149871826173,369.9629998779297
203,2021-07-20,364.760009765625,4323.06005859375,369.1424987792969,369.84039978027346
204,2021-07-21,373.5,4358.68994140625,369.94099884033204,369.9367999267578
205,2021-07-22,372.7099914550781,4367.47998046875,370.5239990234375,370.1925994873047
206,2021-07-23,374.0499877929688,4411.7900390625,370.78899841308595,370.5855993652344
207,2021-07-26,375.8999938964844,4422.2998046875,371.14549865722654,370.9273992919922
208,2021-07-27,374.8399963378906,4401.4599609375,371.4519989013672,371.0487994384766
